http://www.candidagenome.org/download/External_id_mappings/gp2protein.cgd.gz
CGD:CAL0000193101	UniProtKB:Q5A0W9
CGD:CAL0132000	UniProtKB:Q6FRY5
CGD:CAL0126919	UniProtKB:Q6FY63
CGD:CAL0127894	UniProtKB:Q6FXP4
CGD:CAL0133178	UniProtKB:Q6FNV5
CGD:CAL0132732	UniProtKB:Q6FR56
CGD:CAL0136877	UniProtKB:Q6FIN4
CGD:CAL0131408	UniProtKB:Q6FUD8
CGD:CAL0133190	UniProtKB:Q6FNV4
CGD:CAL0132044	UniProtKB:Q6FSF1
CGD:CAL0132752	UniProtKB:Q6FQA0
CGD:CAL0137781	UniProtKB:Q6FT85
CGD:CAL0136891	UniProtKB:Q6FK11
CGD:CAL0129153	UniProtKB:Q6FSJ2
CGD:CAL0129457	UniProtKB:Q6FS75
CGD:CAL0134379	UniProtKB:Q6FML5
CGD:CAL0136897	UniProtKB:Q6FJ73
CGD:CAL0129185	UniProtKB:Q6FUV3
CGD:CAL0129177	UniProtKB:Q6FUM5
CGD:CAL0133206	UniProtKB:Q76IQ2
CGD:CAL0135586	UniProtKB:Q6FLL9
CGD:CAL0129625	UniProtKB:Q874M2
CGD:CAL0136911	UniProtKB:Q6FIK3
CGD:CAL0126992	UniProtKB:Q6FXQ4
CGD:CAL0127198	UniProtKB:Q6FX33
CGD:CAL0127949	UniProtKB:Q6FW26
CGD:CAL0129696	UniProtKB:Q6FQI1
CGD:CAL0135600	UniProtKB:Q6FLD4
CGD:CAL0128582	UniProtKB:Q6FVC7
CGD:CAL0129746	UniProtKB:Q6FQJ4
CGD:CAL0133224	UniProtKB:Q6FPX3
CGD:CAL0129728	UniProtKB:Q6FRE5
CGD:CAL0134399	UniProtKB:Q6FMT2
CGD:CAL0136927	UniProtKB:Q6FIZ7
CGD:CAL0136929	UniProtKB:Q6FIR8
CGD:CAL0129220	UniProtKB:Q6FSK3
CGD:CAL0129231	UniProtKB:Q6FSZ8
CGD:CAL0134409	UniProtKB:Q6FN12
CGD:CAL0127028	UniProtKB:Q870I4
CGD:CAL0133242	UniProtKB:Q6FPT9
CGD:CAL0129811	UniProtKB:P15114
CGD:CAL0134419	UniProtKB:Q6FM31
CGD:CAL0136937	UniProtKB:Q9HGZ6
CGD:CAL0135620	UniProtKB:Q9P4S5
CGD:CAL0133248	UniProtKB:Q6FPU1
CGD:CAL0136939	UniProtKB:Q6FIK6
CGD:CAL0133252	UniProtKB:Q8TG07
CGD:CAL0129945	UniProtKB:Q6FR48
CGD:CAL0134425	UniProtKB:Q6FM32
CGD:CAL0128618	UniProtKB:Q6FV07
CGD:CAL0129289	UniProtKB:Q6FSS0
CGD:CAL0129906	UniProtKB:Q6FRR0
CGD:CAL0135632	UniProtKB:Q6FLQ1
CGD:CAL0127234	UniProtKB:Q6FX11
CGD:CAL0129301	UniProtKB:Q6FT92
CGD:CAL0136951	UniProtKB:Q6FIX7
CGD:CAL0136947	UniProtKB:Q6FJ38
CGD:CAL0135636	UniProtKB:Q6FKQ6
CGD:CAL0129964	UniProtKB:Q6FRW1
CGD:CAL0129309	UniProtKB:Q6FTJ2
CGD:CAL0136953	UniProtKB:Q6FJV9
CGD:CAL0129325	UniProtKB:Q6FTI5
CGD:CAL0129321	UniProtKB:Q6FT82
CGD:CAL0136955	UniProtKB:Q6FIT9
CGD:CAL0130003	UniProtKB:Q6FQL7
CGD:CAL0136961	UniProtKB:Q6FJ14
CGD:CAL0135642	UniProtKB:Q6FLC9
CGD:CAL0127264	UniProtKB:Q6FWM8
CGD:CAL0130035	UniProtKB:Q6FQJ5
CGD:CAL0134435	UniProtKB:Q6FM81
CGD:CAL0136971	UniProtKB:P61833
CGD:CAL0129348	UniProtKB:Q6FTV3
CGD:CAL0130071	UniProtKB:Q6FQE9
CGD:CAL0135652	UniProtKB:Q6FLL2
CGD:CAL0128640	UniProtKB:Q9P974
CGD:CAL0127104	UniProtKB:Q86Z42
CGD:CAL0133274	UniProtKB:Q6FNM5
CGD:CAL0129383	UniProtKB:Q6FSJ9
CGD:CAL0136983	UniProtKB:Q6FJL1
CGD:CAL0127278	UniProtKB:Q6FWS2
CGD:CAL0128648	UniProtKB:Q6FVC6
CGD:CAL0133276	UniProtKB:Q6FPF1
CGD:CAL0130120	UniProtKB:Q6FJH3
CGD:CAL0130139	UniProtKB:Q6FQU6
CGD:CAL0130128	UniProtKB:Q6FRE7
CGD:CAL0130157	UniProtKB:Q6FQQ6
CGD:CAL0128021	UniProtKB:O42768
CGD:CAL0127134	UniProtKB:Q6FXM4
CGD:CAL0135672	UniProtKB:Q6FKA1
CGD:CAL0136993	UniProtKB:Q6FIU2
CGD:CAL0134459	UniProtKB:Q6FML4
CGD:CAL0134467	UniProtKB:O74197
CGD:CAL0134465	UniProtKB:Q6FN06
CGD:CAL0133296	UniProtKB:Q8TG06
CGD:CAL0128041	UniProtKB:Q6FW75
CGD:CAL0128039	UniProtKB:Q6FW60
CGD:CAL0129455	UniProtKB:Q6FU69
CGD:CAL0135684	UniProtKB:Q6FKA5
CGD:CAL0134471	UniProtKB:Q6FMJ2
CGD:CAL0135692	UniProtKB:Q8TFK7
CGD:CAL0127340	UniProtKB:Q6FWW0
CGD:CAL0139468	UniProtKB:Q85QA3
CGD:CAL0129558	UniProtKB:Q6FU81
CGD:CAL0135700	UniProtKB:Q6FKH7
CGD:CAL0128053	UniProtKB:Q6FW61
CGD:CAL0137015	UniProtKB:Q6FJ26
CGD:CAL0128055	UniProtKB:Q6FWF3
CGD:CAL0128057	UniProtKB:Q6FVQ3
CGD:CAL0137017	UniProtKB:Q6FJ91
CGD:CAL0129591	UniProtKB:P50860
CGD:CAL0137025	UniProtKB:Q6FIK5
CGD:CAL0129750	UniProtKB:Q6FSN6
CGD:CAL0135706	UniProtKB:Q6FLQ5
CGD:CAL0127364	UniProtKB:Q6FWV2
CGD:CAL0127678	UniProtKB:Q6FXQ8
CGD:CAL0126697	UniProtKB:Q6FY25
CGD:CAL0126699	UniProtKB:Q6FY35
CGD:CAL0130376	UniProtKB:P33283
CGD:CAL0135710	UniProtKB:Q6FL71
CGD:CAL0130400	UniProtKB:Q6FR35
CGD:CAL0133312	UniProtKB:Q6FPT1
CGD:CAL0134517	UniProtKB:Q6FN53
CGD:CAL0128069	UniProtKB:Q6FW88
CGD:CAL0129721	UniProtKB:Q6FUQ5
CGD:CAL0134523	UniProtKB:Q6FN88
CGD:CAL0127382	UniProtKB:Q6FWW3
CGD:CAL0134525	UniProtKB:Q6FM00
CGD:CAL0129762	UniProtKB:Q6FU45
CGD:CAL0127392	UniProtKB:Q6FWQ2
CGD:CAL0133322	UniProtKB:Q6FNV1
CGD:CAL0126731	UniProtKB:Q6FXZ0
CGD:CAL0130482	UniProtKB:Q6FQT2
CGD:CAL0129973	UniProtKB:Q6FT12
CGD:CAL0132052	UniProtKB:Q6FQG3
CGD:CAL0127430	UniProtKB:Q6FWT0
CGD:CAL0129834	UniProtKB:O74208
CGD:CAL0135740	UniProtKB:Q6FKL3
CGD:CAL0133330	UniProtKB:Q6FNX1
CGD:CAL0135742	UniProtKB:Q6FL84
CGD:CAL0128099	UniProtKB:Q6FVZ7
CGD:CAL0130037	UniProtKB:Q6FSU0
CGD:CAL0132072	UniProtKB:Q6FR01
CGD:CAL0135746	UniProtKB:Q6FL34
CGD:CAL0137069	UniProtKB:Q6FJA3
CGD:CAL0127444	UniProtKB:P61833
CGD:CAL0137087	UniProtKB:Q6FJX6
CGD:CAL0130530	UniProtKB:Q6FSD4
CGD:CAL0135754	UniProtKB:Q6FLD5
CGD:CAL0134547	UniProtKB:Q6FMH9
CGD:CAL0133348	UniProtKB:Q6FP19
CGD:CAL0135764	UniProtKB:Q6FLB2
CGD:CAL0127468	UniProtKB:Q6FWM1
CGD:CAL0133350	UniProtKB:Q6FPC0
CGD:CAL0137107	UniProtKB:Q6FJW4
CGD:CAL0130135	UniProtKB:Q6FTK3
CGD:CAL0132110	UniProtKB:Q6FR78
CGD:CAL0134555	UniProtKB:Q6FMJ3
CGD:CAL0134553	UniProtKB:Q6FNF9
CGD:CAL0128133	UniProtKB:Q6FWF4
CGD:CAL0132114	UniProtKB:Q6FR62
CGD:CAL0132116	UniProtKB:Q6FQ14
CGD:CAL0127754	UniProtKB:Q6FXI8
CGD:CAL0133364	UniProtKB:Q6FP43
CGD:CAL0137113	UniProtKB:Q6SZS5
CGD:CAL0130587	UniProtKB:Q6FS06
CGD:CAL0135776	UniProtKB:Q6FKS1
CGD:CAL0128750	UniProtKB:Q6FV75
CGD:CAL0130591	UniProtKB:P61833
CGD:CAL0137119	UniProtKB:Q6FJD5
CGD:CAL0137117	UniProtKB:Q6FK63
CGD:CAL0135778	UniProtKB:Q6FKJ9
CGD:CAL0128143	UniProtKB:Q6FVV7
CGD:CAL0128756	UniProtKB:Q6FV94
CGD:CAL0130862	UniProtKB:Q6FUS6
CGD:CAL0133376	UniProtKB:Q6FPQ3
CGD:CAL0127504	UniProtKB:Q6FX38
CGD:CAL0130607	UniProtKB:Q6FSC7
CGD:CAL0130611	UniProtKB:Q6FRH2
CGD:CAL0130627	UniProtKB:Q6FRR4
CGD:CAL0128151	UniProtKB:Q6FVX3
CGD:CAL0133378	UniProtKB:Q6FP42
CGD:CAL0131438	UniProtKB:Q6FR88
CGD:CAL0134567	UniProtKB:Q6FMG7
CGD:CAL0135806	UniProtKB:Q6FKH5
CGD:CAL0134571	UniProtKB:Q6FN18
CGD:CAL0127810	UniProtKB:Q6FXN3
CGD:CAL0127812	UniProtKB:Q6FXE3
CGD:CAL0130288	UniProtKB:Q6FTM9
CGD:CAL0131456	UniProtKB:Q6FRS1
CGD:CAL0134577	UniProtKB:Q6FM98
CGD:CAL0130306	UniProtKB:Q6FSS4
CGD:CAL0133406	UniProtKB:Q6FNY7
CGD:CAL0130312	UniProtKB:Q6FT60
CGD:CAL0135818	UniProtKB:Q6FLC3
CGD:CAL0134579	UniProtKB:P60009
CGD:CAL0127536	UniProtKB:Q6FWQ3
CGD:CAL0135822	UniProtKB:Q6FKA3
CGD:CAL0133414	UniProtKB:Q6FP25
CGD:CAL0130890	UniProtKB:Q6FU42
CGD:CAL0137141	UniProtKB:Q6FIV0
CGD:CAL0131494	UniProtKB:Q6FSB1
CGD:CAL0135840	UniProtKB:Q6FKN6
CGD:CAL0131500	UniProtKB:Q8NIG3
CGD:CAL0132204	UniProtKB:Q6FQY7
CGD:CAL0131506	UniProtKB:Q6FSG0
CGD:CAL0135842	UniProtKB:Q6FKD4
CGD:CAL0127858	UniProtKB:Q6FXI5
CGD:CAL0128802	UniProtKB:Q6FV34
CGD:CAL0130440	UniProtKB:Q6FSJ4
CGD:CAL0137157	UniProtKB:Q6FJV1
CGD:CAL0135844	UniProtKB:Q6FLP6
CGD:CAL0130914	UniProtKB:Q6FUG0
CGD:CAL0132208	UniProtKB:Q6FQA6
CGD:CAL0133432	UniProtKB:Q6FPK1
CGD:CAL0130932	UniProtKB:Q6FU61
CGD:CAL0131524	UniProtKB:Q6FRW0
CGD:CAL0131522	UniProtKB:Q6FRL4
CGD:CAL0134597	UniProtKB:Q6FN38
CGD:CAL0130504	UniProtKB:Q6FTC4
CGD:CAL0131530	UniProtKB:Q6FS36
CGD:CAL0128822	UniProtKB:Q708A7
CGD:CAL0130540	UniProtKB:Q6FSN5
CGD:CAL0131540	UniProtKB:Q6FRM6
CGD:CAL0133440	UniProtKB:Q6FP78
CGD:CAL0137173	UniProtKB:Q6FIY2
CGD:CAL0132232	UniProtKB:Q6FQJ2
CGD:CAL0134605	UniProtKB:Q6FMA3
CGD:CAL0126939	UniProtKB:Q6FYA6
CGD:CAL0134609	UniProtKB:Q6FMB3
CGD:CAL0133444	UniProtKB:Q6FNN7
CGD:CAL0131556	UniProtKB:Q6FRZ5
CGD:CAL0127622	UniProtKB:Q6FWN4
CGD:CAL0133446	UniProtKB:Q6FPI4
CGD:CAL0133448	UniProtKB:Q6FNJ1
CGD:CAL0127632	UniProtKB:Q6FX35
CGD:CAL0135884	UniProtKB:Q6FLU4
CGD:CAL0130982	UniProtKB:Q6FUA6
CGD:CAL0130986	UniProtKB:Q6FUG1
CGD:CAL0137193	UniProtKB:Q6FIQ1
CGD:CAL0131582	UniProtKB:Q6FRC1
CGD:CAL0134641	UniProtKB:Q6FMB5
CGD:CAL0137195	UniProtKB:Q6FJJ9
CGD:CAL0126967	UniProtKB:Q6FY31
CGD:CAL0128237	UniProtKB:Q6FVV1
CGD:CAL0130653	UniProtKB:Q6FT39
CGD:CAL0130657	UniProtKB:Q6FT88
CGD:CAL0131596	UniProtKB:Q6FS48
CGD:CAL0137205	UniProtKB:Q6FJQ6
CGD:CAL0135912	UniProtKB:Q6FKD1
CGD:CAL0134657	UniProtKB:Q6FN72
CGD:CAL0133474	UniProtKB:Q6FPP7
CGD:CAL0131028	UniProtKB:Q96WT3
CGD:CAL0131030	UniProtKB:Q6FU57
CGD:CAL0128884	UniProtKB:P50859
CGD:CAL0128259	UniProtKB:Q6FVR8
CGD:CAL0133478	UniProtKB:Q6FP05
CGD:CAL0137229	UniProtKB:Q6FJ04
CGD:CAL0137231	UniProtKB:Q6FJ70
CGD:CAL0130701	UniProtKB:Q6FTG6
CGD:CAL0130709	UniProtKB:Q6FTJ8
CGD:CAL0128273	UniProtKB:Q6FVT7
CGD:CAL0134683	UniProtKB:Q6FNC2
CGD:CAL0130711	UniProtKB:Q6FSW5
CGD:CAL0134685	UniProtKB:Q6FML9
CGD:CAL0133494	UniProtKB:Q6FNP9
CGD:CAL0133490	UniProtKB:Q6FPN7
CGD:CAL0130717	UniProtKB:Q6FSU7
CGD:CAL0135934	UniProtKB:Q6FKB4
CGD:CAL0134691	UniProtKB:Q6FMA5
CGD:CAL0128283	UniProtKB:Q6FWE3
CGD:CAL0131066	UniProtKB:O42819
CGD:CAL0127044	UniProtKB:Q6FXH5
CGD:CAL0132340	UniProtKB:Q6FQB2
CGD:CAL0134695	UniProtKB:Q6FN65
CGD:CAL0128902	UniProtKB:Q6FV04
CGD:CAL0128289	UniProtKB:Q6FVY5
CGD:CAL0135944	UniProtKB:Q6FKS8
CGD:CAL0127230	UniProtKB:Q6FWV1
CGD:CAL0137259	UniProtKB:Q6FK56
CGD:CAL0134707	UniProtKB:B4UN34
CGD:CAL0133522	UniProtKB:Q6FPX5
CGD:CAL0128307	UniProtKB:Q6FWB9
CGD:CAL0127242	UniProtKB:Q6FWS8
CGD:CAL0128311	UniProtKB:Q6FWE1
CGD:CAL0133524	UniProtKB:Q6FPQ7
CGD:CAL0135960	UniProtKB:Q6FLE2
CGD:CAL0127072	UniProtKB:Q6FXA4
CGD:CAL0130755	UniProtKB:Q6FSZ7
CGD:CAL0131678	UniProtKB:Q6FS62
CGD:CAL0134723	UniProtKB:Q6FM84
CGD:CAL0134725	UniProtKB:Q6FMX1
CGD:CAL0128317	UniProtKB:Q6FW27
CGD:CAL0134727	UniProtKB:Q6FME9
CGD:CAL0134729	UniProtKB:Q6FM91
CGD:CAL0134731	UniProtKB:Q6FML0
CGD:CAL0134733	UniProtKB:Q6FMN0
CGD:CAL0131110	UniProtKB:Q6FU75
CGD:CAL0131714	UniProtKB:Q6FRG0
CGD:CAL0132386	UniProtKB:Q6FR65
CGD:CAL0133534	UniProtKB:Q6FPB6
CGD:CAL0128930	UniProtKB:Q6FUZ9
CGD:CAL0131732	UniProtKB:Q6FSD1
CGD:CAL0130793	UniProtKB:Q6FT66
CGD:CAL0132398	UniProtKB:Q6FQ75
CGD:CAL0127124	UniProtKB:Q6FXC6
CGD:CAL0127296	UniProtKB:Q6FWS1
CGD:CAL0135996	UniProtKB:Q6FKJ1
CGD:CAL0130797	UniProtKB:Q6FT26
CGD:CAL0132402	UniProtKB:Q6FQ44
CGD:CAL0133538	UniProtKB:Q6FPF3
CGD:CAL0131746	UniProtKB:Q6FRS9
CGD:CAL0130807	UniProtKB:Q6FTE5
CGD:CAL0130809	UniProtKB:Q6FSQ0
CGD:CAL0136006	UniProtKB:Q6FLM2
CGD:CAL0134753	UniProtKB:Q6FM01
CGD:CAL0131762	UniProtKB:Q6FS98
CGD:CAL0137307	UniProtKB:Q6FJR2
CGD:CAL0133552	UniProtKB:Q6FNR8
CGD:CAL0139480	UniProtKB:Q85Q99
CGD:CAL0136018	UniProtKB:Q6FL63
CGD:CAL0137317	UniProtKB:Q6FIU7
CGD:CAL0130821	UniProtKB:Q6FSW2
CGD:CAL0131774	UniProtKB:Q6FRV2
CGD:CAL0131776	UniProtKB:Q6FRM1
CGD:CAL0137323	UniProtKB:Q6FJI2
CGD:CAL0130825	UniProtKB:Q6FTQ8
CGD:CAL0127332	UniProtKB:Q6FWV0
CGD:CAL0133560	UniProtKB:Q6FNH2
CGD:CAL0126671	UniProtKB:Q6FXX1
CGD:CAL0131788	UniProtKB:Q6FRU5
CGD:CAL0131794	UniProtKB:Q6FSD5
CGD:CAL0133566	UniProtKB:Q6FPQ4
CGD:CAL0136034	UniProtKB:Q6FKT4
CGD:CAL0128371	UniProtKB:Q6FVZ6
CGD:CAL0128373	UniProtKB:Q6FW54
CGD:CAL0128972	UniProtKB:Q6FV52
CGD:CAL0133578	UniProtKB:Q6FP74
CGD:CAL0128976	UniProtKB:Q6FUZ2
CGD:CAL0126687	UniProtKB:Q6FYA7
CGD:CAL0133580	UniProtKB:Q6FPN5
CGD:CAL0136046	UniProtKB:Q6FKE0
CGD:CAL0134779	UniProtKB:Q6FN68
CGD:CAL0137347	UniProtKB:Q6FJK6
CGD:CAL0136050	UniProtKB:Q6FKZ2
CGD:CAL0133590	UniProtKB:Q6FPK7
CGD:CAL0137353	UniProtKB:Q6FIT7
CGD:CAL0134781	UniProtKB:Q6FMP4
CGD:CAL0131200	UniProtKB:Q6FUV0
CGD:CAL0136060	UniProtKB:Q6FL80
CGD:CAL0133598	UniProtKB:Q6FP02
CGD:CAL0137539	UniProtKB:Q6FTI0
CGD:CAL0133604	UniProtKB:Q6FNR4
CGD:CAL0132508	UniProtKB:Q6FQR7
CGD:CAL0137371	UniProtKB:Q874J6
CGD:CAL0132514	UniProtKB:Q6FPZ6
CGD:CAL0137375	UniProtKB:Q6FJV8
CGD:CAL0132518	UniProtKB:Q6FQ87
CGD:CAL0137381	UniProtKB:Q6FJ31
CGD:CAL0127698	UniProtKB:Q6FXK9
CGD:CAL0126757	UniProtKB:Q6FXZ4
CGD:CAL0136082	UniProtKB:Q6FL25
CGD:CAL0132534	UniProtKB:Q6FQ31
CGD:CAL0134809	UniProtKB:B4UN38
CGD:CAL0133628	UniProtKB:Q6FPI5
CGD:CAL0137567	UniProtKB:Q6FSK8
CGD:CAL0134813	UniProtKB:Q6FMA9
CGD:CAL0126787	UniProtKB:Q6FY89
CGD:CAL0127454	UniProtKB:Q6FX50
CGD:CAL0133634	UniProtKB:Q6FPD9
CGD:CAL0133638	UniProtKB:Q6FNU4
CGD:CAL0131238	UniProtKB:Q6FTV1
CGD:CAL0126793	UniProtKB:Q6FXY9
CGD:CAL0133640	UniProtKB:Q6FPJ5
CGD:CAL0132566	UniProtKB:Q6FR44
CGD:CAL0133642	UniProtKB:Q6FP38
CGD:CAL0129028	UniProtKB:Q6FV72
CGD:CAL0137411	UniProtKB:Q6FK84
CGD:CAL0131900	UniProtKB:Q6FRE1
CGD:CAL0136102	UniProtKB:Q6FL17
CGD:CAL0132576	UniProtKB:Q6FQ33
CGD:CAL0127484	UniProtKB:Q6FWT9
CGD:CAL0127488	UniProtKB:Q876N3
CGD:CAL0133654	UniProtKB:Q6FPU0
CGD:CAL0131260	UniProtKB:Q6FUP6
CGD:CAL0131910	UniProtKB:Q6FRJ6
CGD:CAL0137425	UniProtKB:Q6FIK2
CGD:CAL0134839	UniProtKB:Q6FM51
CGD:CAL0127496	UniProtKB:P50857
CGD:CAL0133660	UniProtKB:Q6FNU7
CGD:CAL0133662	UniProtKB:Q6FNH1
CGD:CAL0127500	UniProtKB:Q6FWM4
CGD:CAL0134843	UniProtKB:Q6FMC8
CGD:CAL0132614	UniProtKB:Q6FQG2
CGD:CAL0128459	UniProtKB:Q6FWA7
CGD:CAL0131290	UniProtKB:Q6FU02
CGD:CAL0128463	UniProtKB:Q6FW77
CGD:CAL0134849	UniProtKB:Q6FM43
CGD:CAL0137427	UniProtKB:Q6FIN2
CGD:CAL0134853	UniProtKB:Q6FMC0
CGD:CAL0137429	UniProtKB:Q6FK59
CGD:CAL0129066	UniProtKB:Q6FVD8
CGD:CAL0126843	UniProtKB:Q6FXS6
CGD:CAL0128473	UniProtKB:Q6FW12
CGD:CAL0131306	UniProtKB:Q6FUD0
CGD:CAL0134859	UniProtKB:Q6FM05
CGD:CAL0136134	UniProtKB:Q6FKI2
CGD:CAL0129078	UniProtKB:Q6FVI8
CGD:CAL0132636	UniProtKB:P41772
CGD:CAL0127826	UniProtKB:Q6FXJ8
CGD:CAL0136136	UniProtKB:Q6FLP9
CGD:CAL0132644	UniProtKB:Q6FQV5
CGD:CAL0131318	UniProtKB:Q6FUA5
CGD:CAL0129088	UniProtKB:Q6FVE6
CGD:CAL0137439	UniProtKB:Q6FJG8
CGD:CAL0133686	UniProtKB:Q6FPV6
CGD:CAL0136144	UniProtKB:Q6FL81
CGD:CAL0134877	UniProtKB:Q6FM42
CGD:CAL0133688	UniProtKB:Q6FNJ6
CGD:CAL0131952	UniProtKB:Q6FRH1
CGD:CAL0131330	UniProtKB:Q6FU86
CGD:CAL0131332	UniProtKB:Q6FU23
CGD:CAL0137449	UniProtKB:Q6FK00
CGD:CAL0132670	UniProtKB:Q6FR30
CGD:CAL0133700	UniProtKB:Q6FP52
CGD:CAL0137451	UniProtKB:Q6FJQ5
CGD:CAL0137701	UniProtKB:Q6FSU2
CGD:CAL0134903	UniProtKB:Q6FNE9
CGD:CAL0132682	UniProtKB:Q6FQ55
CGD:CAL0134911	UniProtKB:Q6FMP0
CGD:CAL0131348	UniProtKB:Q6FTT8
CGD:CAL0137715	UniProtKB:Q6FTL0
CGD:CAL0139466	UniProtKB:Q85QA4
CGD:CAL0137461	UniProtKB:Q6FJM0
CGD:CAL0129110	UniProtKB:Q6FV36
CGD:CAL0126889	UniProtKB:Q6FY30
CGD:CAL0126891	UniProtKB:Q6FY24
CGD:CAL0134917	UniProtKB:Q6FM94
CGD:CAL0128505	UniProtKB:Q6FVZ8
CGD:CAL0136162	UniProtKB:Q6FKB6
CGD:CAL0127584	UniProtKB:Q6FWM7
CGD:CAL0127586	UniProtKB:Q6FWY5
CGD:CAL0134925	UniProtKB:Q6FMR7
CGD:CAL0128513	UniProtKB:Q6FWE8
CGD:CAL0131998	UniProtKB:Q6FS03
CGD:CAL0132004	UniProtKB:Q6FS70
CGD:CAL0136172	UniProtKB:Q6FLU2
CGD:CAL0133724	UniProtKB:Q6FP41
CGD:CAL0132710	UniProtKB:Q6FQE3
CGD:CAL0134945	UniProtKB:Q6FMB1
CGD:CAL0133726	UniProtKB:Q6FNL6
CGD:CAL0132014	UniProtKB:Q6FS55
CGD:CAL0137471	UniProtKB:Q6FJI9
CGD:CAL0131384	UniProtKB:Q6FTX7
CGD:CAL0137475	UniProtKB:Q6FK47
CGD:CAL0137477	UniProtKB:Q6FIU0
CGD:CAL0137479	UniProtKB:Q6FIS9
CGD:CAL0134955	UniProtKB:Q6FN48
CGD:CAL0133736	UniProtKB:Q6FNH8
CGD:CAL0137759	UniProtKB:Q6FTE0
CGD:CAL0137483	UniProtKB:Q6FIJ6
CGD:CAL0133738	UniProtKB:Q6FNP6
CGD:CAL0136192	UniProtKB:Q6FL09
CGD:CAL0136188	UniProtKB:Q6FLQ6
CGD:CAL0132740	UniProtKB:P25400
CGD:CAL0139490	UniProtKB:Q85Q98
CGD:CAL0129140	UniProtKB:Q6FV93
CGD:CAL0137763	UniProtKB:Q6FTK4
CGD:CAL0131410	UniProtKB:Q6FU40
CGD:CAL0134965	UniProtKB:Q6FM46
CGD:CAL0132036	UniProtKB:Q6FSI6
CGD:CAL0133758	UniProtKB:Q6FNI6
CGD:CAL0137773	UniProtKB:Q6FSU1
CGD:CAL0133756	UniProtKB:Q6FNZ4
CGD:CAL0137503	UniProtKB:Q6FJ45
CGD:CAL0137775	UniProtKB:Q6FSQ6
CGD:CAL0137511	UniProtKB:Q6FK48
CGD:CAL0129436	UniProtKB:Q6FR64
CGD:CAL0136213	UniProtKB:Q6FJK2
CGD:CAL0134974	UniProtKB:Q6FKG8
CGD:CAL0134976	UniProtKB:Q6FKN1
CGD:CAL0134978	UniProtKB:Q6FKX7
CGD:CAL0133765	UniProtKB:Q6FM97
CGD:CAL0129169	UniProtKB:Q6FTB2
CGD:CAL0136223	UniProtKB:Q6FJ25
CGD:CAL0136225	UniProtKB:Q6FK50
CGD:CAL0134984	UniProtKB:Q6FLL6
CGD:CAL0128564	UniProtKB:Q6FV88
CGD:CAL0129563	UniProtKB:Q6FQZ6
CGD:CAL0127184	UniProtKB:Q6FX07
CGD:CAL0133781	UniProtKB:Q6FN35
CGD:CAL0136231	UniProtKB:Q6FII9
CGD:CAL0129677	UniProtKB:Q6FQW2
CGD:CAL0128580	UniProtKB:Q6FV38
CGD:CAL0126990	UniProtKB:Q6FXF2
CGD:CAL0129513	UniProtKB:Q6FNS2
CGD:CAL0135004	UniProtKB:Q6FLD7
CGD:CAL0129537	UniProtKB:Q6FPB3
CGD:CAL0136239	UniProtKB:Q6FIS6
CGD:CAL0135012	UniProtKB:Q6FL21
CGD:CAL0136259	UniProtKB:Q6FJ41
CGD:CAL0129235	UniProtKB:Q6FTA2
CGD:CAL0136267	UniProtKB:Q6FJH0
CGD:CAL0129599	UniProtKB:Q6FPD0
CGD:CAL0133807	UniProtKB:Q6FN21
CGD:CAL0129639	UniProtKB:Q6FPV8
CGD:CAL0129862	UniProtKB:Q6FRF8
CGD:CAL0127979	UniProtKB:Q6FW69
CGD:CAL0136277	UniProtKB:Q6FIS2
CGD:CAL0127989	UniProtKB:Q6FWC4
CGD:CAL0135044	UniProtKB:Q6FKH6
CGD:CAL0129649	UniProtKB:Q6FPB5
CGD:CAL0127993	UniProtKB:Q6FVQ7
CGD:CAL0133833	UniProtKB:Q6FMC9
CGD:CAL0136293	UniProtKB:Q6FIJ0
CGD:CAL0136299	UniProtKB:A0A0W0CQQ4
CGD:CAL0129719	UniProtKB:Q6FNR9
CGD:CAL0129365	UniProtKB:Q6FTP6
CGD:CAL0130060	UniProtKB:Q6FRI2
CGD:CAL0129391	UniProtKB:Q6FTP7
CGD:CAL0127284	UniProtKB:Q6FWJ3
CGD:CAL0133859	UniProtKB:Q6FN17
CGD:CAL0129822	UniProtKB:Q6FPF4
CGD:CAL0129832	UniProtKB:Q6FPS8
CGD:CAL0128019	UniProtKB:Q6FVQ0
CGD:CAL0129843	UniProtKB:Q6FNT8
CGD:CAL0128662	UniProtKB:Q6FVH8
CGD:CAL0129887	UniProtKB:Q6FPR3
CGD:CAL0133875	UniProtKB:Q6FN29
CGD:CAL0129530	UniProtKB:Q6FSZ4
CGD:CAL0127312	UniProtKB:Q6FWH8
CGD:CAL0129907	UniProtKB:Q6FNW6
CGD:CAL0136333	UniProtKB:Q6FJX3
CGD:CAL0129927	UniProtKB:Q6FNP5
CGD:CAL0129569	UniProtKB:Q6FTG9
CGD:CAL0130194	UniProtKB:Q6FS83
CGD:CAL0127160	UniProtKB:Q6FX84
CGD:CAL0136371	UniProtKB:Q6FK14
CGD:CAL0130289	UniProtKB:Q6FS47
CGD:CAL0129661	UniProtKB:Q6FUV9
CGD:CAL0133917	UniProtKB:Q6FNA3
CGD:CAL0126713	UniProtKB:Q6FY53
CGD:CAL0130430	UniProtKB:Q6FR25
CGD:CAL0130380	UniProtKB:Q6FRL5
